dataset,case_label,diag_csv,step_index,touchdown_side,window,role,joint,phase_bin,norm_phase,pos_target_rad,joint_pos_rad
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,1,0.05,-0.3565868,-0.046926819999999994
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,2,0.1,-0.35059740000000006,-0.04553654
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,3,0.15,-0.34954620000000003,-0.0417995
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,4,0.2,-0.33278719999999995,-0.0379358
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,5,0.25,-0.312379,-0.0356426
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,6,0.3,-0.2749952,-0.037379300000000004
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,7,0.35,-0.19168120000000005,-0.03735842
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,8,0.4,-0.07543695999999994,-0.03656346
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,9,0.45,-0.03826418000000001,-0.029942499999999997
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,10,0.5,-0.0247068,-0.0252667
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,11,0.55,-0.016177160000000013,-0.018769699999999993
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,12,0.6,-0.050903639999999986,-0.01985508
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,13,0.65,-0.061617639999999994,-0.01597228
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,14,0.7,-0.017738172000000045,-0.013853759999999996
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,15,0.75,0.0162064,-0.016813
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,16,0.8,0.022049599999999996,-0.02274240000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,17,0.85,0.014370339999999999,-0.03181134
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,18,0.9,0.01484698,-0.032618379999999995
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,19,0.95,0.02104763999999998,-0.02996788000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,20,1.0,0.0451441,-0.0191986
