dataset,phase,role,step_index,joint,case_count,curve_count,mean_duration_sec,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
sim,complete_swing,swing_leg,2,ankle_pitch,3,3,0.3500094413757324,18.950622473562536,6.615192832725358,17.99824904671536,6.615192832725358,2.7791303378322585,4.630967556701762,0.3652684333333333,0.17065873333333334,2.1447553068122027,1.0557582650891992,0.17021457821979727
sim,complete_swing,swing_leg,2,ankle_roll,3,3,0.3500094413757324,24.856080041041526,14.349015051970014,23.93016672267538,10.482103942347685,3.680018971918241,2.7791303378322585,0.34921403333333334,0.11205516666666666,2.3114148181667855,0.5750931560398399,0.06246213948357502
sim,complete_swing,swing_leg,2,hip_pitch,3,3,0.3500094413757324,25.809952529645898,6.615192832725358,23.931665784432578,3.8109927691458876,10.190602741894283,2.7791303378322585,0.6101945,0.19985466666666665,5.073973508915651,0.7115595638016562,0.20198532884638257
sim,complete_swing,swing_leg,2,hip_roll,3,3,0.3500094413757324,38.08796476824944,10.454144772109466,38.08796476824944,6.669612111444603,2.7791303378322585,2.7791303378322585,1.5365099999999998,0.08751976666666667,8.481778856014094,0.40981325423761,0.590969062736224
sim,complete_swing,swing_leg,2,knee_pitch,3,3,0.3500094413757324,20.091214783291274,5.7172386845974295,20.091214783291274,5.7172386845974295,2.7791303378322585,2.7791303378322585,0.5188143333333333,0.3498396666666667,2.304341826227843,1.1843416371301185,0.23388810041934738
sim,complete_swing,swing_leg,3,ankle_pitch,4,4,0.2849923372268677,18.95417427454077,12.367699163657235,15.67279696614701,11.534376294119038,5.828069103714765,3.4575156869582204,0.22629924999999998,0.18039825,2.564365866960492,1.0475234678041265,0.09422990105568466
sim,complete_swing,swing_leg,3,ankle_roll,4,4,0.2849923372268677,22.159734122727514,10.928343673072888,19.711740615989275,9.313673035872846,3.4575156869582204,5.021568650499746,0.454944675,0.12066170000000001,2.317920128644465,0.592897617783109,0.1820933513808824
sim,complete_swing,swing_leg,3,hip_pitch,4,4,0.2849923372268677,23.34813980284112,3.584363152858172,23.34813980284112,1.9696925156581306,3.4575156869582204,3.4575156869582204,0.57567875,0.18525524999999998,3.8383685798241034,0.7177454139653779,0.15257131707412636
sim,complete_swing,swing_leg,3,hip_roll,4,4,0.2849923372268677,18.57994535144801,10.753089458574516,16.13195184470977,6.865679529134607,3.4575156869582204,3.4575156869582204,1.642776,0.067883685,8.686780494357905,0.431572692297427,0.5838717810321837
sim,complete_swing,swing_leg,3,knee_pitch,4,4,0.2849923372268677,18.878417746451078,6.032356659596411,18.878417746451078,2.803076317313651,3.4575156869582204,3.4575156869582204,0.6032472499999999,0.405702,2.939984996222936,1.5870496839621393,0.27361820463387776
sim,complete_swing,swing_leg,4,ankle_pitch,4,4,0.38000214099884033,21.39013352168505,6.314221941546341,18.13081956357365,5.746032192387862,3.1391112257942653,2.5835479155059744,0.58372975,0.27480105,3.2912504629494372,1.3072695229509417,0.278559091020396
sim,complete_swing,swing_leg,4,ankle_roll,4,4,0.38000214099884033,27.91454302179175,16.080205970690322,27.238860170842322,7.155751011205907,2.5835479155059744,2.5835479155059744,0.34742385,0.0457999251,1.8642360105505673,0.2485966620682791,0.12504892187550914
sim,complete_swing,swing_leg,4,hip_pitch,4,4,0.38000214099884033,25.999786215755957,2.652564452986592,25.43159646659748,1.938321846070827,7.973099196657588,2.5835479155059744,0.7713657500000001,0.21976075,5.8105804204990354,1.0044743513288268,0.21688029012915253
sim,complete_swing,swing_leg,4,hip_roll,4,4,0.38000214099884033,31.15509058488967,6.529208145128246,27.826843280953646,5.139282687263049,2.5835479155059744,2.5835479155059744,1.5986275,0.123116375,8.357490494311127,0.5146527884750869,0.6511354283913049
sim,complete_swing,swing_leg,4,knee_pitch,4,4,0.38000214099884033,20.399806881125382,9.983714945868707,19.685564274209618,8.613582848956359,2.5835479155059744,2.5835479155059744,0.772347,0.39014499999999996,3.274215817034477,1.2894702190043716,0.2475519432321686
sim,complete_swing,swing_leg,5,ankle_pitch,4,4,0.3450316786766052,19.701524010047876,7.9702167099704875,18.273205576338277,7.256219219845545,5.726004790874528,2.821889924931588,0.414151825,0.199053,2.842109146082837,1.0093203525136953,0.1767398685414925
sim,complete_swing,swing_leg,5,ankle_roll,4,4,0.3450316786766052,31.19032596957971,13.024791113823987,29.781568197616135,4.332326769174702,2.821889924931588,4.8488947212808595,0.492952325,0.110643775,2.5285522047376685,0.5094841077314203,0.19968404902215417
sim,complete_swing,swing_leg,5,hip_pitch,4,4,0.3450316786766052,23.878808590594122,2.904008335465103,23.878808590594122,0.6944368283789172,2.821889924931588,2.821889924931588,0.6605800000000001,0.198788,4.9148604579557125,0.7773473807313891,0.17166721588925102
sim,complete_swing,swing_leg,5,hip_roll,4,4,0.3450316786766052,23.71342624515264,7.323151349637475,20.809417909687532,4.332326769174702,2.821889924931588,2.821889924931588,1.6226,0.11543737525,9.759724018305729,0.6040414637937797,0.6099536455459298
sim,complete_swing,swing_leg,5,knee_pitch,4,4,0.3450316786766052,22.276857666889185,6.502453499309123,21.495604593512596,5.0936957273455485,2.821889924931588,2.821889924931588,0.6856552499999999,0.464186,3.1833870224446246,1.5444663000058616,0.28553435145498346
sim,complete_swing,swing_leg,6,ankle_pitch,4,4,0.35746872425079346,24.5402581233396,4.9425540584506855,24.5402581233396,4.161309134125741,2.732394874550878,2.732394874550878,0.55400535,0.2808395225,3.3544576306760003,1.2390992811382338,0.17598575655203835
