dataset,case_label,side,axis,phase,n_samples,duration_sec,pos_peak1_hz,pos_peak1_amp,pos_peak2_hz,pos_peak2_amp,pos_peak3_hz,pos_peak3_amp,pos_energy_2-4Hz,pos_energy_4-8Hz,pos_energy_8-15Hz,pos_energy_15-20Hz,pos_osc_rad,des_peak1_hz,des_peak1_amp,des_peak2_hz,des_peak2_amp,des_peak3_hz,des_peak3_amp,des_energy_2-4Hz,des_energy_4-8Hz,des_energy_8-15Hz,des_energy_15-20Hz,des_osc_rad,err_peak1_hz,err_peak1_amp,err_peak2_hz,err_peak2_amp,err_peak3_hz,err_peak3_amp,err_energy_2-4Hz,err_energy_4-8Hz,err_energy_8-15Hz,err_energy_15-20Hz,err_osc_rad
sim,2504,right,pitch,swing,774,7.74,2.587,0.04443,2.717,0.0298,2.458,0.01863,0.0358,0.0036,0.0004,0.0003,0.07097,2.587,0.09374,2.717,0.06688,5.175,0.05366,0.4577,0.2608,0.0518,0.0148,0.2139,2.587,0.08258,2.717,0.05862,5.175,0.05628,0.1618,0.1225,0.0254,0.0087,0.21183
sim,2504,right,pitch,stance,714,7.14,3.081,0.03164,3.221,0.02721,2.941,0.01488,0.0239,0.0023,0.0028,0.0008,0.06766,3.081,0.08438,3.221,0.0624,2.941,0.04144,0.3254,0.0586,0.0401,0.0117,0.188,3.081,0.05582,3.221,0.0378,2.941,0.02887,0.2117,0.0532,0.0272,0.0094,0.16974
sim,2504,right,roll,all,1488,14.88,1.412,0.00845,1.48,0.00641,2.892,0.00402,0.1204,0.0295,0.02,0.0051,0.01751,1.412,0.08345,1.48,0.05849,1.345,0.02935,0.0266,0.0476,0.0194,0.0118,0.1456,1.412,0.08282,1.48,0.05764,1.345,0.02955,0.0226,0.0411,0.0174,0.0107,0.14253
sim,2504,right,roll,swing,774,7.74,2.587,0.00789,2.717,0.00553,2.458,0.00436,0.2672,0.0763,0.0389,0.0098,0.01725,2.587,0.07622,2.717,0.05314,5.175,0.0343,0.3966,0.1071,0.0208,0.0238,0.14896,2.587,0.07889,2.717,0.05437,2.458,0.03428,0.3667,0.0827,0.0183,0.0221,0.14861
sim,2504,right,roll,stance,714,7.14,3.081,0.00639,3.221,0.00527,2.941,0.0032,0.7368,0.0423,0.0635,0.0172,0.01551,3.081,0.06277,3.221,0.05372,2.941,0.02919,0.225,0.0402,0.0306,0.0153,0.13921,3.081,0.06072,3.221,0.05211,2.941,0.02803,0.2097,0.0389,0.0269,0.0147,0.13437
sim,3505,left,pitch,all,1554,15.54,1.416,0.03241,1.48,0.0216,2.832,0.01761,0.0054,0.0018,0.0008,0.0002,0.06273,1.416,0.10325,2.832,0.09259,2.896,0.08113,0.1648,0.0541,0.0135,0.0033,0.22574,1.416,0.12445,2.832,0.10563,2.896,0.09226,0.3394,0.1123,0.0297,0.0044,0.26713
sim,3505,left,pitch,swing,1142,11.42,1.839,0.03491,1.927,0.02253,1.751,0.01371,0.0017,0.0026,0.0009,0.0003,0.05944,1.839,0.10592,3.678,0.07424,1.927,0.06696,0.1106,0.0557,0.0244,0.002,0.21886,1.839,0.13727,1.927,0.08733,3.678,0.07585,0.196,0.1377,0.0508,0.0041,0.2623
sim,3505,left,pitch,stance,412,4.12,17.962,0.0063,1.942,0.0053,18.933,0.00472,0.0005,0.0007,0.0011,0.0016,0.06428,6.311,0.08314,6.068,0.08091,12.379,0.05608,0.0019,0.1829,0.1322,0.0746,0.24188,6.311,0.08177,6.068,0.08114,12.379,0.06029,0.0054,0.2682,0.2229,0.1406,0.28009
sim,3505,left,roll,all,1554,15.54,1.416,0.04546,1.48,0.03034,2.832,0.02731,0.1662,0.0265,0.0097,0.0007,0.08015,1.416,0.12347,1.48,0.08224,1.351,0.04491,0.0352,0.0242,0.0122,0.0018,0.19585,1.416,0.09076,1.48,0.06061,2.832,0.04155,0.0912,0.039,0.0228,0.0037,0.15943
sim,3505,left,roll,swing,1142,11.42,1.839,0.0474,1.927,0.03082,3.678,0.02501,0.1263,0.0195,0.018,0.0016,0.08282,1.839,0.12878,1.927,0.08517,1.751,0.05027,0.0035,0.0256,0.0136,0.0023,0.20203,1.839,0.09899,1.927,0.06623,1.751,0.03795,0.028,0.0319,0.0199,0.0048,0.16475
