dataset,case_label,diag_csv,step_index,touchdown_side,window,side,axis,cycle_index,lag_ms,target_amplitude_rad,joint_amplitude_rad,amplitude_gain,segment_duration_sec,equivalent_frequency_hz,segment_tracking_err_rms_rad,segment_target_path_rad,segment_joint_path_rad
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,right,pitch,4,9.999513626098633,0.08516399999999999,0.236526,2.7773002677187546,0.08004927635192871,6.246152654794773,0.1151108755890984,0.47389599999999993,0.236526
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,right,pitch,5,9.999513626098633,0.14103000000000002,0.07581879999999999,0.5376076012195985,0.020094633102416992,24.882265700081867,0.16852912940743114,0.649104,0.07581879999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,right,pitch,6,9.999513626098633,0.08859000000000003,0.008046499999999998,0.09082853595213902,0.019916772842407227,25.104468678549626,0.26217922956133777,0.36558999999999997,0.008081900000000003
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,left,roll,1,39.99805450439453,0.01665429,0.04185219,2.512997551982102,0.020019054412841797,24.976204654264823,0.030593155145784923,0.03805049,0.04185219
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,left,roll,2,39.99805450439453,0.02838017,0.042402600000000006,1.4940925301011236,0.0299832820892334,16.67595957346989,0.08122287456768724,0.02984607,0.042402600000000006
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,left,roll,3,39.99805450439453,0.0062520300000000004,0.002914900000000012,nan,0.03001999855041504,16.655563762280305,0.10278736210657843,0.008161010000000002,0.012850900000000012
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,left,pitch,1,39.99805450439453,0.082006,0.030993999999999994,0.37794795502768086,0.020019054412841797,24.976204654264823,0.09403258480796255,0.10807400000000003,0.030993999999999994
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,left,pitch,2,39.99805450439453,0.034338000000000035,0.014842000000000022,0.4322325120857361,0.0299832820892334,16.67595957346989,0.16435148647411132,0.06339999999999996,0.014842000000000022
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,left,pitch,3,39.99805450439453,0.018697999999999992,0.004042000000000018,0.21617285271152098,0.019989728927612305,25.01284543730544,0.1545652242819624,0.034262000000000015,0.004133999999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,right,roll,1,0.0,0.137864,0.020442100000000005,0.1482772877618523,0.020019054412841797,24.976204654264823,0.23002508940207658,0.263714,0.020442100000000005
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,right,roll,2,0.0,0.24605,0.015604400000000004,0.06341963015647228,0.020015478134155273,24.980667294016747,0.21906957391287055,0.25959199999999993,0.018373
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,right,roll,3,0.0,0.027554999999999996,0.0024924999999999947,0.09045545273090165,0.02999711036682129,16.66827217307677,0.2917220123660666,0.031012999999999957,0.009652499999999994
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,right,roll,4,0.0,0.014177999999999968,0.0036680000000000046,0.2587106785160116,0.020034313201904297,24.95718195882423,0.33374600132968885,0.14916999999999997,0.006159999999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,right,roll,5,0.0,0.005727999999999955,0.0006114000000000119,nan,0.019996166229248047,25.00479313222845,0.2992451354308816,0.04125800000000002,0.0029891999999999974
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,right,roll,6,0.0,0.022694000000000047,0.002646400000000007,0.11661232043712001,0.019999980926513672,25.000023841880648,0.32160591909604214,0.022694000000000047,0.002883999999999984
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,right,pitch,1,39.99805450439453,0.08453400000000003,5.6199999999999306e-05,0.0006648212553528673,0.029986858367919922,16.673970772973746,0.13362488067683168,0.2843998,0.012188399999999995
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,right,pitch,2,39.99805450439453,0.03961500000000001,0.018247299999999994,0.4606159283099833,0.02001953125,24.975609756097562,0.19451355879884916,0.04449500000000001,0.018247299999999994
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,touchdown,right,pitch,3,39.99805450439453,0.101294,0.0040824,0.04030248583331688,0.0200040340423584,24.994958463940502,0.28127819262203746,0.17508400000000002,0.0040824
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,swing,left,roll,1,199.99027252197266,0.02838017,0.010017899999999996,0.35298942888643714,0.0299832820892334,16.67595957346989,0.09610476163092982,0.02984607,0.013498900000000008
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,swing,left,roll,2,199.99027252197266,0.0062520300000000004,0.0505673,nan,0.03001999855041504,16.655563762280305,0.07513010595460634,0.008161010000000002,0.0505673
